group_id,group,State_Province,inst_name,inst_id,total_count_num,unique_count_num,total_count_string,unique_count_string,latitude,longitude
1,EAST,Connecticut,Fairfield University,4916,78420,9671,"78,420","9,671","41.1815
",-73.2903
1,EAST,Connecticut,Trinity College,4928,117277,19322,"117,277","19,322","41.7474
",-72.69
1,EAST,Connecticut,UConn,4930,261933,105324,"261,933","105,324","41.8072
",-72.2525
1,EAST,Connecticut,Wesleyan University,4941,210179,67406,"210,179","67,406","41.5556
",-72.6558
1,EAST,Maine,Colby,4913,41581,4624,"41,581","4,624","44.5642
",-69.6631
1,EAST,Maryland,Loyola Notre Dame,5743,96034,11931,"96,034","11,931","39.300213
",-76.610516
1,EAST,Massachusetts,Amherst College,4907,177801,60147,"177,801","60,147","42.3708
",-72.516
1,EAST,Massachusetts,Boston College,4908,301422,119245,"301,422","119,245","42.3351
",-71.1704
1,EAST,Massachusetts,Boston University,4909,185001,82218,"185,001","82,218","42.3496
",-71.0997
1,EAST,Massachusetts,Brandeis University,4910,240742,99649,"240,742","99,649","42.3657
",-71.2597
1,EAST,Massachusetts,Bridgewater,4911,65930,10578,"65,930","10,578","41.986944
",-70.965
1,EAST,Massachusetts,Elms College,4915,14808,4282,"14,808","4,282","42.1423
",-72.6014
1,EAST,Massachusetts,Five Colleges Incorporated,5033,43333,16685,"43,333","16,685","42.3061
",-72.51
1,EAST,Massachusetts,Hampshire College,4917,33396,4537,"33,396","4,537","42.3251
",-72.5308
1,EAST,Massachusetts,Mount Holyoke College,4922,154739,43974,"154,739","43,974","42.2556
",-72.5745
1,EAST,Massachusetts,Smith College,4926,229379,109826,"229,379","109,826","42.3181
",-72.6381
1,EAST,Massachusetts,Tufts University,4929,194299,58480,"194,299","58,480","42.4069
",-71.1198
1,EAST,Massachusetts,UMass Amherst,4934,1251528,355373,"1,251,528","355,373","42.3889
",-72.5278
1,EAST,Massachusetts,UMass Boston,4935,93926,22238,"93,926","22,238","42.3134
",-71.0384
1,EAST,Massachusetts,UMass Dartmouth,4936,46666,7348,"46,666","7,348","41.6287
",-71.006
1,EAST,Massachusetts,UMass Lowell,4937,62687,7892,"62,687","7,892","42.6427
",-71.3345
1,EAST,Massachusetts,Wellesley College,4940,150549,45643,"150,549","45,643","42.2953
",-71.3067
1,EAST,Massachusetts,Williams College,4942,154746,33401,"154,746","33,401","42.7128
",-73.2031
1,EAST,New Hampshire,Phillips Exeter Academy,4923,32710,5527,"32,710","5,527",42.98156,-70.95117
